date,agtype,amount
2019-12-30,Corn,155
2019-12-31,Wheat,254
2019-12-31,Rice,410
2019-12-31,Soybean,349
2019-12-31,Corn,155
2020-01-01,Wheat,254
2020-01-01,Rice,410
2020-01-01,Soybean,352
2020-01-01,Corn,156
2020-01-02,Wheat,255
2020-01-02,Rice,411
2020-01-02,Soybean,354
2020-01-02,Corn,157
2020-01-03,Wheat,252
2020-01-03,Rice,410
2020-01-03,Soybean,349
2020-01-03,Corn,155
2020-01-06,Wheat,250
2020-01-06,Rice,411
2020-01-06,Soybean,350
2020-01-06,Corn,154
2020-01-07,Wheat,250
2020-01-07,Rice,411
2020-01-07,Soybean,350
2020-01-07,Corn,154
2020-01-08,Wheat,251
2020-01-08,Rice,411
2020-01-08,Soybean,351
2020-01-08,Corn,154
2020-01-09,Wheat,256
2020-01-09,Rice,410
2020-01-09,Soybean,349
2020-01-09,Corn,153
2020-01-10,Wheat,257
2020-01-10,Rice,410
2020-01-10,Soybean,350
2020-01-10,Corn,154
2020-01-13,Wheat,256
2020-01-13,Rice,425
2020-01-13,Soybean,349
2020-01-13,Corn,156
2020-01-14,Wheat,258
2020-01-14,Rice,425
2020-01-14,Soybean,349
2020-01-14,Corn,156
2020-01-15,Wheat,261
2020-01-15,Rice,425
2020-01-15,Soybean,344
2020-01-15,Corn,155
2020-01-16,Wheat,257
2020-01-16,Rice,425
2020-01-16,Soybean,342
2020-01-16,Corn,150
2020-01-17,Wheat,259
2020-01-17,Rice,425
2020-01-17,Soybean,344
2020-01-17,Corn,156
2020-01-20,Wheat,262
2020-01-20,Rice,425
2020-01-20,Soybean,342
2020-01-20,Corn,155
2020-01-21,Wheat,264
2020-01-21,Rice,425
2020-01-21,Soybean,339
2020-01-21,Corn,155
2020-01-22,Wheat,263
2020-01-22,Rice,425
2020-01-22,Soybean,338
2020-01-22,Corn,156
2020-01-23,Wheat,264
2020-01-23,Rice,425
2020-01-23,Soybean,337
2020-01-23,Corn,158
2020-01-24,Wheat,261
2020-01-24,Rice,425
2020-01-24,Soybean,334
2020-01-24,Corn,155
2020-01-27,Wheat,260
2020-01-27,Rice,425
2020-01-27,Soybean,332
2020-01-27,Corn,152
2020-01-28,Wheat,259
2020-01-28,Rice,414
2020-01-28,Soybean,331
2020-01-28,Corn,155
2020-01-29,Wheat,256
2020-01-29,Rice,414
2020-01-29,Soybean,331
2020-01-29,Corn,154
2020-01-30,Wheat,255
2020-01-30,Rice,414
2020-01-30,Soybean,325
2020-01-30,Corn,152
2020-01-31,Wheat,252
2020-01-31,Rice,414
2020-01-31,Soybean,323
2020-01-31,Corn,153
2020-02-03,Wheat,253
2020-02-03,Rice,414
2020-02-03,Soybean,325
2020-02-03,Corn,152
2020-02-04,Wheat,253
2020-02-04,Rice,414
2020-02-04,Soybean,326
2020-02-04,Corn,153
2020-02-05,Wheat,255
2020-02-05,Rice,414
2020-02-05,Soybean,326
2020-02-05,Corn,152
2020-02-06,Wheat,253
2020-02-06,Rice,420
2020-02-06,Soybean,326
2020-02-06,Corn,152
2020-02-07,Wheat,254
2020-02-07,Rice,420
2020-02-07,Soybean,327
2020-02-07,Corn,153
2020-02-10,Wheat,251
2020-02-10,Rice,420
2020-02-10,Soybean,328
2020-02-10,Corn,153
2020-02-11,Wheat,246
2020-02-11,Rice,420
2020-02-11,Soybean,328
2020-02-11,Corn,152
2020-02-12,Wheat,249
2020-02-12,Rice,420
2020-02-12,Soybean,331
2020-02-12,Corn,153
2020-02-13,Wheat,247
2020-02-13,Rice,467
2020-02-13,Soybean,332
2020-02-13,Corn,152
2020-02-14,Wheat,247
2020-02-14,Rice,467
2020-02-14,Soybean,331
2020-02-14,Corn,151
2020-02-17,Wheat,252
2020-02-17,Rice,467
2020-02-17,Soybean,331
2020-02-17,Corn,152
2020-02-18,Wheat,258
2020-02-18,Rice,445
2020-02-18,Soybean,330
2020-02-18,Corn,153
2020-02-19,Wheat,257
2020-02-19,Rice,447
2020-02-19,Soybean,332
2020-02-19,Corn,152
2020-02-20,Wheat,255
2020-02-20,Rice,447
2020-02-20,Soybean,331
2020-02-20,Corn,151
2020-02-21,Wheat,250
2020-02-21,Rice,447
2020-02-21,Soybean,330
2020-02-21,Corn,151
2020-02-24,Wheat,244
2020-02-24,Rice,447
2020-02-24,Soybean,324
2020-02-24,Corn,149
2020-02-25,Wheat,245
2020-02-25,Rice,447
2020-02-25,Soybean,326
2020-02-25,Corn,149
2020-02-26,Wheat,246
2020-02-26,Rice,447
2020-02-26,Soybean,326
2020-02-26,Corn,148
2020-02-27,Wheat,241
2020-02-27,Rice,447
2020-02-27,Soybean,328
2020-02-27,Corn,146
2020-02-28,Wheat,240
2020-02-28,Rice,447
2020-02-28,Soybean,327
2020-02-28,Corn,147
2020-03-02,Wheat,238
2020-03-02,Rice,447
2020-03-02,Soybean,334
2020-03-02,Corn,150
2020-03-03,Wheat,240
2020-03-03,Rice,447
2020-03-03,Soybean,335
2020-03-03,Corn,153
2020-03-04,Wheat,236
2020-03-04,Rice,453
2020-03-04,Soybean,336
2020-03-04,Corn,154
2020-03-05,Wheat,236
2020-03-05,Rice,453
2020-03-05,Soybean,332
2020-03-05,Corn,153
2020-03-06,Wheat,234
2020-03-06,Rice,453
2020-03-06,Soybean,330
2020-03-06,Corn,150
2020-03-09,Wheat,236
2020-03-09,Rice,452
2020-03-09,Soybean,322
2020-03-09,Corn,149
2020-03-10,Wheat,237
2020-03-10,Rice,452
2020-03-10,Soybean,325
2020-03-10,Corn,151
2020-03-11,Wheat,233
2020-03-11,Rice,459
2020-03-11,Soybean,323
2020-03-11,Corn,150
2020-03-12,Wheat,230
2020-03-12,Rice,459
2020-03-12,Soybean,318
2020-03-12,Corn,146
2020-03-13,Wheat,230
2020-03-13,Rice,459
2020-03-13,Soybean,314
2020-03-13,Corn,146
2020-03-16,Wheat,226
2020-03-16,Rice,459
2020-03-16,Soybean,304
2020-03-16,Corn,142
2020-03-17,Wheat,227
2020-03-17,Rice,459
2020-03-17,Soybean,305
2020-03-17,Corn,138
2020-03-18,Wheat,231
2020-03-18,Rice,471
2020-03-18,Soybean,306
2020-03-18,Corn,134
2020-03-19,Wheat,243
2020-03-19,Rice,471
2020-03-19,Soybean,312
2020-03-19,Corn,138
2020-03-20,Wheat,245
2020-03-20,Rice,471
2020-03-20,Soybean,319
2020-03-20,Corn,138
2020-03-23,Wheat,256
2020-03-23,Rice,471
2020-03-23,Soybean,327
2020-03-23,Corn,137
2020-03-24,Wheat,255
2020-03-24,Rice,471
2020-03-24,Soybean,328
2020-03-24,Corn,139
2020-03-25,Wheat,264
2020-03-25,Rice,471
2020-03-25,Soybean,326
2020-03-25,Corn,139
2020-03-26,Wheat,259
2020-03-26,Rice,468
2020-03-26,Soybean,326
2020-03-26,Corn,140
2020-03-27,Wheat,260
2020-03-27,Rice,468
2020-03-27,Soybean,326
2020-03-27,Corn,138
2020-03-30,Wheat,259
2020-03-30,Rice,468
2020-03-30,Soybean,327
2020-03-30,Corn,137
2020-03-31,Wheat,259
2020-03-31,Rice,468
2020-03-31,Soybean,325
2020-03-31,Corn,136
2020-04-01,Wheat,250
2020-04-01,Rice,483
2020-04-01,Soybean,320
2020-04-01,Corn,134
2020-04-02,Wheat,246
2020-04-02,Rice,483
2020-04-02,Soybean,318
2020-04-02,Corn,133
2020-04-03,Wheat,250
2020-04-03,Rice,500
2020-04-03,Soybean,316
2020-04-03,Corn,132
2020-04-06,Wheat,253
2020-04-06,Rice,500
2020-04-06,Soybean,317
2020-04-06,Corn,131
2020-04-07,Wheat,250
2020-04-07,Rice,500
2020-04-07,Soybean,317
2020-04-07,Corn,133
2020-04-08,Wheat,249
2020-04-08,Rice,505
2020-04-08,Soybean,316
2020-04-08,Corn,132
2020-04-09,Wheat,253
2020-04-09,Rice,505
2020-04-09,Soybean,320
2020-04-09,Corn,133
2020-04-10,Wheat,253
2020-04-10,Rice,505
2020-04-10,Soybean,318
2020-04-10,Corn,133
2020-04-13,Wheat,252
2020-04-13,Rice,505
2020-04-13,Soybean,316
2020-04-13,Corn,133
2020-04-14,Wheat,249.4
2020-04-14,Rice,543
2020-04-14,Soybean,314
2020-04-14,Corn,131
2020-04-15,Wheat,245.6
2020-04-15,Rice,540
2020-04-15,Soybean,314
2020-04-15,Corn,130
2020-04-16,Wheat,240.8
2020-04-16,Rice,540
2020-04-16,Soybean,312
2020-04-16,Corn,128
2020-04-17,Wheat,242.5
2020-04-17,Rice,540
2020-04-17,Soybean,310
2020-04-17,Corn,128
